name,description,asks_fee,label
AdvisoryCity Staffing,Service charges are billed only to client companies. We are an IT staffing firm partnering with MNC clients.,0,0
DreamJob Jobs,We offer premium job placement services for freshers and experienced candidates.,1,1
JobInstant Jobs,Pay joining fee to access premium job list and HR contacts. Demands non-refundable registration fee to reserve offer letter.,1,1
NextGenTalent Solutions,Service charges are billed only to client companies. Service charges are billed only to client companies.,0,0
JobOverseas Jobs,We guarantee job in MNC without exams. Pay security deposit. Company charges for profile activation. Refund if not selected.,1,1
FirstQuick Agency,Company charges for profile activation. Refund if not selected. Asks candidates to pay processing fee in cash before employer details.,1,1
SilverBlue Partners,Works only on retained search basis. Works only on retained search basis.,0,0
InstantSureShot Agency,Activation fee must be paid immediately to unlock projects. Simple work from mobile. Join now by paying account creation fee.,1,1
GlobalUrban HR,We are an IT staffing firm partnering with MNC clients. Candidates are hired as full time employees with standard background checks.,0,0
PrimeStaffing HR,Works only on retained search basis. Official recruitment partner for mid-size software companies.,0,0
QuickOverseas Jobs,Get selected instantly for high-paying job. Just pay registration fee. One-time registration fee required before sharing interview location.,1,1
BlueBlue Partners,Official recruitment partner for mid-size software companies. Selection process includes technical test and HR round.,0,0
Summit Edge HR Advisory,We support clients with permanent staffing and leadership hiring. All openings are listed on our official website and corporate LinkedIn page.,0,0
InstantEasy Jobs,Asks candidates to pay processing fee in cash before employer details. NO INTERVIEW required. Send joining fee on Google Pay.,1,1
GlobalNextGen Staffing,Consulting and training firm in data science. We are an IT staffing firm partnering with MNC clients.,0,0
SpeedHire WhatsApp Group,Adds people to an anonymous group and offers 'backdoor entry' into MNCs; instructs them to pay 5000 to a personal UPI ID for employee referral.,1,1
EasyInstant Consultancy,We guarantee job in MNC without exams. Pay security deposit. Part-time copy paste work. First transfer processing fee.,1,1
VisasDream Services,NO INTERVIEW required. Send joining fee on Google Pay. Activation fee must be paid immediately to unlock projects.,1,1
BlueSilver Partners,Consulting and training firm in data science. Provides project-based hiring for Java and .NET engineers.,0,0
StaffingSilver HR,All openings are listed on our official website. We are an IT staffing firm partnering with MNC clients.,0,0
DreamInstant Consultancy,100% placement guarantee. Freshers must pay placement fee. 100% placement guarantee. Freshers must pay placement fee.,1,1
CashGuaranteed Services,Part-time copy paste work. First transfer processing fee. NO INTERVIEW required. Send joining fee on Google Pay.,1,1
PlacementOffer Jobs,Simple work from mobile. Join now by paying account creation fee. Activation fee must be paid immediately to unlock projects.,1,1
GlobalHR Partners,Recruitment for clients is free for job seekers. We are an IT staffing firm partnering with MNC clients.,0,0
EasyGuaranteed Jobs,Part-time copy paste work. First transfer processing fee. Must pay consultancy fee and visa processing amount in advance.,0,1
UrbanBright Partners,Recruitment for clients is free for job seekers. Official recruitment partner for mid-size software companies.,0,0
GlobalPartners Partners,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
EasyGuaranteed Agency,Asks candidates to pay processing fee in cash before employer details. Asks candidates to pay processing fee in cash before employer details.,1,1
EasyPlacement Jobs,We offer premium job placement services for freshers and experienced candidates.,1,1
InstantSureShot Agency,Demands non-refundable registration fee to reserve offer letter. Must pay consultancy fee and visa processing amount in advance.,1,1
StaffingBlue HR,Recruitment for clients is free for job seekers. Works only on retained search basis.,0,0
DreamCash Consultancy,Pay joining fee to access premium job list and HR contacts. One-time registration fee required before sharing interview location.,1,1
CashGuaranteed Consultancy,We guarantee job in MNC without exams. Pay security deposit. Part-time copy paste work. First transfer processing fee.,1,1
OfferPay Services,Part-time copy paste work. First transfer processing fee. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
ConsultingUrban HR,We are an IT staffing firm partnering with MNC clients. Selection process includes technical test and HR round.,0,0
InnoCore Software Services Pvt Ltd,"Provides project‑based hiring for Java, .NET and cloud engineers. No charges for interview scheduling or offer letters.",0,0
JobQuick Consultancy,One-time registration fee required before sharing interview location. NO INTERVIEW required. Send joining fee on Google Pay.,1,1
CashCash Services,We offer premium job placement services for freshers and experienced candidates.,1,1
BlueConsulting Solutions,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
PlacementFirst Services,Asks candidates to pay processing fee in cash before employer details. We guarantee job in MNC without exams. Pay security deposit.,1,1
CityBlue Solutions,Works only on retained search basis. Selection process includes technical test and HR round.,0,0
HRNextGen Partners,Recruitment for clients is free for job seekers. Official recruitment partner for mid-size software companies.,0,0
PayVisas Agency,Must pay consultancy fee and visa processing amount in advance. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
OverseasOverseas Jobs,Get selected instantly for high-paying job. Just pay registration fee. Simple work from mobile. Join now by paying account creation fee.,1,1
DreamOverseas Jobs,Activation fee must be paid immediately to unlock projects. Pay joining fee to access premium job list and HR contacts.,1,1
BrightPrime Solutions,"We are paid by employers, not by job seekers. Provides project-based hiring for Java and .NET engineers.",0,0
DreamPlacement Services,Get selected instantly for high-paying job. Just pay registration fee. We guarantee job in MNC without exams. Pay security deposit.,1,1
PlacementOffer Jobs,One-time registration fee required before sharing interview location. Pay joining fee to access premium job list and HR contacts.,1,1
PrimeStaffing HR,Candidates are hired as full time employees with standard background checks. Selection process includes technical test and HR round.,0,0
GuaranteedJob Consultancy,Activation fee must be paid immediately to unlock projects. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
FirstPlacement Jobs,Part-time copy paste work. First transfer processing fee. Pay joining fee to access premium job list and HR contacts.,1,1
SureShotCash Jobs,Get selected instantly for high-paying job. Just pay registration fee. Get selected instantly for high-paying job. Just pay registration fee.,1,1
SummitGlobal Partners,We are an IT staffing firm partnering with MNC clients. Candidates are hired as full time employees with standard background checks.,0,0
TechCore Solutions,We are an IT staffing firm partnering with MNC clients. Works only on retained search basis.,0,0
BrightStaffing Partners,We are an IT staffing firm partnering with MNC clients. All communication happens from verified company email domains.,0,0
GuaranteedOverseas Jobs,We offer premium job placement services for freshers and experienced candidates.,1,1
SureShotInstant Consultancy,100% placement guarantee. Freshers must pay placement fee. Demands non-refundable registration fee to reserve offer letter.,1,1
EverGreen Career Services,Helps mid‑career professionals switch industries. They sell resume and LinkedIn optimization packages but do not accept any money in exchange for 'job guarantee'.,0,0
BlueGlobal Partners,Works only on retained search basis. Service charges are billed only to client companies.,0,0
UrbanSilver Partners,Works only on retained search basis. No fees are collected from candidates at any stage.,0,0
TechAdvisory Solutions,Service charges are billed only to client companies. All openings are listed on our official website.,0,0
AdvisorySilver HR,All openings are listed on our official website. Recruitment for clients is free for job seekers.,0,0
SummitSummit Solutions,"All openings are listed on our official website. We are paid by employers, not by job seekers.",0,0
FirstFirst Jobs,We offer premium job placement services for freshers and experienced candidates.,1,1
DreamSureShot Services,Pay joining fee to access premium job list and HR contacts. Earn daily 3000 INR. First pay processing fee for ID card.,0,1
InstantQuick Agency,NO INTERVIEW required. Send joining fee on Google Pay. One-time registration fee required before sharing interview location.,1,1
BrightCity Partners,Selection process includes technical test and HR round. We are an IT staffing firm partnering with MNC clients.,0,0
InstantEasy Agency,One-time registration fee required before sharing interview location. Company charges for profile activation. Refund if not selected.,1,1
TechPrime Solutions,We are an IT staffing firm partnering with MNC clients. Provides project-based hiring for Java and .NET engineers.,0,0
BrightGlobal Solutions,Recruitment for clients is free for job seekers. All communication happens from verified company email domains.,0,0
OverseasSureShot Agency,Demands non-refundable registration fee to reserve offer letter. Get selected instantly for high-paying job. Just pay registration fee.,1,1
Global Tech Solutions Pvt Ltd,We are an IT staffing and consulting firm partnering with MNC clients. No fees are collected from candidates at any stage of recruitment.,0,0
CashDream Agency,Part-time copy paste work. First transfer processing fee. Simple work from mobile. Join now by paying account creation fee.,1,1
BrightPrime Partners,We are an IT staffing firm partnering with MNC clients. All openings are listed on our official website.,0,0
SureShotQuick Jobs,100% placement guarantee. Freshers must pay placement fee. NO INTERVIEW required. Send joining fee on Google Pay.,1,1
StaffingConsulting HR,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
PrimeTalent Solutions,All communication happens from verified company email domains. Official recruitment partner for mid-size software companies.,0,0
GuaranteedCash Consultancy,One-time registration fee required before sharing interview location. Simple work from mobile. Join now by paying account creation fee.,1,1
PlacementInstant Agency,NO INTERVIEW required. Send joining fee on Google Pay. Get selected instantly for high-paying job. Just pay registration fee.,1,1
PrimeTalent HR,"We are paid by employers, not by job seekers. Official recruitment partner for mid-size software companies.",0,0
SummitTech Solutions,Recruitment for clients is free for job seekers. All openings are listed on our official website.,0,0
Overseas100% Agency,Pay joining fee to access premium job list and HR contacts. Demands non-refundable registration fee to reserve offer letter.,1,1
BlueAdvisory Solutions,All openings are listed on our official website. We are an IT staffing firm partnering with MNC clients.,0,0
FirstQuick Consultancy,100% placement guarantee. Freshers must pay placement fee. Simple work from mobile. Join now by paying account creation fee.,1,1
JobOverseas Agency,Company charges for profile activation. Refund if not selected. Get selected instantly for high-paying job. Just pay registration fee.,1,1
TechHarbor Talent,"Focuses on backend, cloud and DevOps roles. Candidates are sourced from job boards and GitHub; they receive interview links only from company or TechHarbor domains.",0,0
CityAdvisory HR,We are an IT staffing firm partnering with MNC clients. Consulting and training firm in data science.,0,0
PartnersPrime Partners,"We are paid by employers, not by job seekers. All communication happens from verified company email domains.",0,0
FirstGuaranteed Jobs,Asks candidates to pay processing fee in cash before employer details. We guarantee job in MNC without exams. Pay security deposit.,1,1
GlobalAdvisory Staffing,"We are paid by employers, not by job seekers. All openings are listed on our official website.",0,0
CareerLift Consulting,"Offers interview preparation workshops for a course fee, but explicitly states that hiring for partner companies is handled without any candidate charges.",0,0
TechBlue Solutions,We are an IT staffing firm partnering with MNC clients. Candidates are hired as full time employees with standard background checks.,0,0
TalentGlobal HR,Recruitment for clients is free for job seekers. Works only on retained search basis.,0,0
PartnersTalent Partners,Works only on retained search basis. All openings are listed on our official website.,0,0
QuickSureShot Consultancy,One-time registration fee required before sharing interview location. 100% placement guarantee. Freshers must pay placement fee.,1,1
OfferInstant Agency,One-time registration fee required before sharing interview location. Part-time copy paste work. First transfer processing fee.,1,1
FirstFirst Consultancy,Simple work from mobile. Join now by paying account creation fee. Get selected instantly for high-paying job. Just pay registration fee.,1,1
UrbanAdvisory HR,Recruitment for clients is free for job seekers. Recruitment for clients is free for job seekers.,0,0
StaffingSummit Solutions,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
NextGenPartners Partners,Consulting and training firm in data science. All communication happens from verified company email domains.,0,0
FirstPay Agency,Simple work from mobile. Join now by paying account creation fee. Pay joining fee to access premium job list and HR contacts.,1,1
Pay100% Jobs,We guarantee job in MNC without exams. Pay security deposit. We guarantee job in MNC without exams. Pay security deposit.,1,1
CareerSure Placement Guarantee,We promise job guarantee within 15 days after you pay training + placement fee. No written contract is provided.,1,1
OfferPay Jobs,We offer premium job placement services for freshers and experienced candidates.,1,1
PartnersHR HR,Candidates are hired as full time employees with standard background checks. Service charges are billed only to client companies.,0,0
PaySureShot Services,We offer premium job placement services for freshers and experienced candidates.,1,1
100%First Consultancy,Pay joining fee to access premium job list and HR contacts. Must pay consultancy fee and visa processing amount in advance.,1,1
PaySureShot Agency,100% placement guarantee. Freshers must pay placement fee. 100% placement guarantee. Freshers must pay placement fee.,1,1
CityConsulting Staffing,All communication happens from verified company email domains. Works only on retained search basis.,0,0
EasyOffer Agency,Activation fee must be paid immediately to unlock projects. 100% placement guarantee. Freshers must pay placement fee.,1,1
BlueBlue Solutions,We are an IT staffing firm partnering with MNC clients. Provides project-based hiring for Java and .NET engineers.,0,0
Riverstone Business Systems Inc,US‑based ERP implementation partner. Offers on‑site and remote roles; candidates sign employment contract directly with Riverstone.,0,0
OverseasDream Services,Asks candidates to pay processing fee in cash before employer details. Pay joining fee to access premium job list and HR contacts.,1,1
TalentCity Partners,Provides project-based hiring for Java and .NET engineers. All openings are listed on our official website.,0,0
CityLine Overseas & Jobs,Claims tie‑ups with foreign employers but refuses to show offer letters until candidates pay visa + job package fee in cash.,1,1
UrbanSilver HR,Candidates are hired as full time employees with standard background checks. Selection process includes technical test and HR round.,0,0
SilverBlue Solutions,Official recruitment partner for mid-size software companies. We are an IT staffing firm partnering with MNC clients.,0,0
FirstSureShot Consultancy,NO INTERVIEW required. Send joining fee on Google Pay. Pay joining fee to access premium job list and HR contacts.,1,1
EasyInstant Jobs,Must pay consultancy fee and visa processing amount in advance. NO INTERVIEW required. Send joining fee on Google Pay.,1,1
ConsultingCity Solutions,Candidates are hired as full time employees with standard background checks. Consulting and training firm in data science.,0,0
ConsultingNextGen Staffing,All communication happens from verified company email domains. Service charges are billed only to client companies.,1,0
AdvisoryPartners HR,Official recruitment partner for mid-size software companies. No fees are collected from candidates at any stage.,0,0
HRBright Staffing,Service charges are billed only to client companies. Service charges are billed only to client companies.,0,0
TalentBlue Solutions,Consulting and training firm in data science. Works only on retained search basis.,0,0
CoreConsulting Solutions,Works only on retained search basis. Consulting and training firm in data science.,0,0
VisasFirst Agency,Activation fee must be paid immediately to unlock projects. Part-time copy paste work. First transfer processing fee.,1,1
PlacementPlacement Agency,We guarantee job in MNC without exams. Pay security deposit. Company charges for profile activation. Refund if not selected.,1,1
ConsultingPrime Staffing,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
Skyline Talent Advisors,Specializes in senior technology roles. Works only on retained search basis and explicitly mentions that candidates must never pay for interviews or offers.,0,0
PaySureShot Consultancy,We offer premium job placement services for freshers and experienced candidates.,1,1
HRBright Partners,Selection process includes technical test and HR round. Recruitment for clients is free for job seekers.,0,0
PrimeCity HR,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
SureShot Jobs Telegram Channel,Runs anonymous Telegram channel posting high‑salary roles; members must pay subscription fee to see HR contacts and 'priority openings'.,1,1
PartnersNextGen Solutions,Service charges are billed only to client companies. Works only on retained search basis.,0,0
UrbanPartners HR,All openings are listed on our official website. Recruitment for clients is free for job seekers.,0,0
ConsultingPartners HR,Consulting and training firm in data science. All communication happens from verified company email domains.,0,0
QuickDream Jobs,We offer premium job placement services for freshers and experienced candidates.,1,1
Trusted Careers HR Services,ISO‑certified consulting firm; fee is billed only to employers as per signed contract. Any email asking candidates for money is considered fraud.,0,0
PlacementFirst Services,Demands non-refundable registration fee to reserve offer letter. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
ConsultingTalent HR,Recruitment for clients is free for job seekers. All communication happens from verified company email domains.,0,0
FirstCash Services,NO INTERVIEW required. Send joining fee on Google Pay. Must pay consultancy fee and visa processing amount in advance.,1,1
DreamPlacement Jobs,NO INTERVIEW required. Send joining fee on Google Pay. Simple work from mobile. Join now by paying account creation fee.,1,1
PayPlacement Agency,Demands non-refundable registration fee to reserve offer letter. NO INTERVIEW required. Send joining fee on Google Pay.,1,1
PayVisas Services,Part-time copy paste work. First transfer processing fee. We guarantee job in MNC without exams. Pay security deposit.,1,1
QuickCash Services,NO INTERVIEW required. Send joining fee on Google Pay. Part-time copy paste work. First transfer processing fee.,1,1
ProHire Executive Search,Boutique search firm that works on exclusive mandates; states in every email that job seekers should never pay any amount for opportunities.,0,0
GuaranteedSureShot Jobs,Earn daily 3000 INR. First pay processing fee for ID card. Asks candidates to pay processing fee in cash before employer details.,1,1
GlobalGlobal Staffing,We are an IT staffing firm partnering with MNC clients. Consulting and training firm in data science.,0,0
PayGuaranteed Jobs,Earn daily 3000 INR. First pay processing fee for ID card. Part-time copy paste work. First transfer processing fee.,1,1
FirstFirst Agency,Demands non-refundable registration fee to reserve offer letter. NO INTERVIEW required. Send joining fee on Google Pay.,1,1
QuickGuaranteed Consultancy,Pay joining fee to access premium job list and HR contacts. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
SilverSummit Staffing,All communication happens from verified company email domains. Works only on retained search basis.,0,0
100%Guaranteed Services,Company charges for profile activation. Refund if not selected. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
CashPay Services,Demands non-refundable registration fee to reserve offer letter. Part-time copy paste work. First transfer processing fee.,1,1
Dream100% Agency,We guarantee job in MNC without exams. Pay security deposit. Demands non-refundable registration fee to reserve offer letter.,0,1
PrimeTech HR,No fees are collected from candidates at any stage. No fees are collected from candidates at any stage.,0,0
JobOffer Services,Simple work from mobile. Join now by paying account creation fee. Get selected instantly for high-paying job. Just pay registration fee.,1,1
Fast Cash Work From Home Recruitment,"Part‑time copy paste work, earn up to 50,000 per month. First transfer 999 processing fee to confirm your seat.",1,1
PlacementInstant Consultancy,Pay joining fee to access premium job list and HR contacts. Simple work from mobile. Join now by paying account creation fee.,0,1
SilverCity Partners,We are an IT staffing firm partnering with MNC clients. All communication happens from verified company email domains.,0,0
TalentBright HR,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
PayPlacement Agency,Demands non-refundable registration fee to reserve offer letter. We guarantee job in MNC without exams. Pay security deposit.,1,1
NextGenStaffing HR,All communication happens from verified company email domains. Consulting and training firm in data science.,0,0
CityTalent Walk‑In Center,"Arranges daily walk‑in drives for local companies; a small service charge is taken from employers per successful hire, not from job seekers.",0,0
TechNest Recruiters,"IT‑only recruitment firm; sends detailed job descriptions and client names, never uses generic WhatsApp numbers for official communication.",0,0
StaffingGlobal Partners,All communication happens from verified company email domains. All openings are listed on our official website.,0,0
DreamFirst Services,100% placement guarantee. Freshers must pay placement fee. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
100%SureShot Jobs,100% placement guarantee. Freshers must pay placement fee. Part-time copy paste work. First transfer processing fee.,1,1
BlueNextGen Solutions,Service charges are billed only to client companies. We are an IT staffing firm partnering with MNC clients.,0,0
100%Cash Jobs,We offer premium job placement services for freshers and experienced candidates.,1,1
OverseasInstant Jobs,Get selected instantly for high-paying job. Just pay registration fee. Simple work from mobile. Join now by paying account creation fee.,1,1
DreamCash Services,Simple work from mobile. Join now by paying account creation fee. One-time registration fee required before sharing interview location.,1,1
Daily Income Data Entry Hub,Earn daily 3000 INR doing captcha entry. First you must pay 2500 processing fee for software activation and ID card.,1,1
PlacementGuaranteed Agency,Pay joining fee to access premium job list and HR contacts. Pay joining fee to access premium job list and HR contacts.,1,1
FirstGuaranteed Services,We offer premium job placement services for freshers and experienced candidates.,1,1
QuickVisas Consultancy,We offer premium job placement services for freshers and experienced candidates.,1,1
OverseasVisas Agency,Simple work from mobile. Join now by paying account creation fee. Asks candidates to pay processing fee in cash before employer details.,1,1
PartnersHR Solutions,Recruitment for clients is free for job seekers. All openings are listed on our official website.,0,0
StaffingConsulting Staffing,"We are paid by employers, not by job seekers. Candidates are hired as full time employees with standard background checks.",0,0
GlobalSilver Staffing,"We are paid by employers, not by job seekers. Works only on retained search basis.",0,0
JobEasy Services,NO INTERVIEW required. Send joining fee on Google Pay. Part-time copy paste work. First transfer processing fee.,1,1
TalentHR Solutions,Works only on retained search basis. Provides project-based hiring for Java and .NET engineers.,0,0
StaffingBright Solutions,Provides project-based hiring for Java and .NET engineers. We are an IT staffing firm partnering with MNC clients.,0,0
StaffingSilver HR,We are an IT staffing firm partnering with MNC clients. All openings are listed on our official website.,0,0
JobEasy Jobs,Pay joining fee to access premium job list and HR contacts. Activation fee must be paid immediately to unlock projects.,1,1
QuickGuaranteed Consultancy,We offer premium job placement services for freshers and experienced candidates.,1,1
OfferPlacement Jobs,NO INTERVIEW required. Send joining fee on Google Pay. Activation fee must be paid immediately to unlock projects.,1,1
CashPlacement Jobs,Asks candidates to pay processing fee in cash before employer details. Part-time copy paste work. First transfer processing fee.,1,1
Dream100% Jobs,Company charges for profile activation. Refund if not selected. Earn daily 3000 INR. First pay processing fee for ID card.,0,1
PayInstant Services,Earn daily 3000 INR. First pay processing fee for ID card. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
PartnersSummit Staffing,Recruitment for clients is free for job seekers. All openings are listed on our official website.,0,0
100%Visas Consultancy,Get selected instantly for high-paying job. Just pay registration fee. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
100%Instant Agency,Asks candidates to pay processing fee in cash before employer details. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
OfferVisas Consultancy,Pay joining fee to access premium job list and HR contacts. NO INTERVIEW required. Send joining fee on Google Pay.,1,1
TalentCore Staffing,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
StaffingStaffing HR,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
TechConsulting HR,Official recruitment partner for mid-size software companies. No fees are collected from candidates at any stage.,0,0
PureHire Corporate Talent,"Works only with contract agreements signed by companies; offers letters and joining details are always sent from client HR IDs, not from Gmail/WhatsApp.",0,0
CoreTalent Staffing,Consulting and training firm in data science. Consulting and training firm in data science.,0,0
FirstInstant Consultancy,Activation fee must be paid immediately to unlock projects. Demands non-refundable registration fee to reserve offer letter.,0,1
QuickQuick Agency,We offer premium job placement services for freshers and experienced candidates.,1,1
CoreUrban HR,Recruitment for clients is free for job seekers. Works only on retained search basis.,0,0
CitiSquare Recruitment,Small city‑based consultancy with clear visiting hours and reception desk. Job seekers submit copies of resumes; no one is allowed to collect cash inside the premises.,0,0
CoreConsulting Partners,Recruitment for clients is free for job seekers. All communication happens from verified company email domains.,0,0
SureShotEasy Agency,100% placement guarantee. Freshers must pay placement fee. Asks candidates to pay processing fee in cash before employer details.,1,1
OfferDream Consultancy,Pay joining fee to access premium job list and HR contacts. 100% placement guarantee. Freshers must pay placement fee.,1,1
SilverBlue Staffing,Provides project-based hiring for Java and .NET engineers. Service charges are billed only to client companies.,0,0
QuickSureShot Agency,NO INTERVIEW required. Send joining fee on Google Pay. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
UrbanAxis Consulting,Registered LLP with CIN number visible on website footer. Conducts both online and on‑site interviews and shares offer letters generated from client HR systems only.,0,0
UrbanAdvisory Staffing,Service charges are billed only to client companies. All openings are listed on our official website.,0,0
CoreValue Recruiters,Mid‑sized recruitment firm that lists all current mandates on its portal. Applications are submitted via secure forms and there is a clear note: 'We do not charge job seekers.',0,0
SummitSilver Staffing,All openings are listed on our official website. Recruitment for clients is free for job seekers.,0,0
ConsultingSummit Staffing,Provides project-based hiring for Java and .NET engineers. Works only on retained search basis.,0,0
HRBlue Partners,Recruitment for clients is free for job seekers. No fees are collected from candidates at any stage.,0,0
ConsultingPartners Staffing,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
CorePrime Partners,Provides project-based hiring for Java and .NET engineers. Candidates are hired as full time employees with standard background checks.,0,0
NextGenStaffing Partners,We are an IT staffing firm partnering with MNC clients. Service charges are billed only to client companies.,0,0
Pay100% Consultancy,Demands non-refundable registration fee to reserve offer letter. Get selected instantly for high-paying job. Just pay registration fee.,1,1
BlueBay Corporate Services,"Supports non‑IT roles like accounting and administration. Job posts include employer names, CTC range and location, and clearly say 'No registration charges.'",0,0
Instant Join Typing & SMS Jobs,"NO INTERVIEW required. Work from home, simple SMS sending job. Send 1500 rupees joining fee on Google Pay to receive work kit.",1,1
DreamPay Agency,100% placement guarantee. Freshers must pay placement fee. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
UrbanPrime Solutions,Official recruitment partner for mid-size software companies. All openings are listed on our official website.,0,0
GreenLeaf Career Services,Provides career coaching packages and mock interviews; charges only for training sessions and clearly separates them from free recruitment support.,0,0
HarborView Recruitment,"Regional hiring partner for logistics and shipping companies; interviews are arranged at client premises, and no money is collected from applicants.",0,0
OverseasVisas Agency,We offer premium job placement services for freshers and experienced candidates.,1,1
SureShotJob Consultancy,Company charges for profile activation. Refund if not selected. Part-time copy paste work. First transfer processing fee.,1,1
SilverTalent HR,Selection process includes technical test and HR round. Works only on retained search basis.,0,0
VisasCash Consultancy,Activation fee must be paid immediately to unlock projects. Simple work from mobile. Join now by paying account creation fee.,1,1
PlacementVisas Jobs,We offer premium job placement services for freshers and experienced candidates.,1,1
OfferDream Consultancy,Get selected instantly for high-paying job. Just pay registration fee. Pay joining fee to access premium job list and HR contacts.,1,1
PrimeCareer Solutions,Offers interview scheduling and profile feedback for free. Their revenue comes from resume‑building and workshop services that are billed with proper invoices.,0,0
VisasPlacement Consultancy,Must pay consultancy fee and visa processing amount in advance. Pay joining fee to access premium job list and HR contacts.,1,1
UrbanAdvisory Solutions,We are an IT staffing firm partnering with MNC clients. Candidates are hired as full time employees with standard background checks.,0,0
PartnersBright Solutions,Service charges are billed only to client companies. We are an IT staffing firm partnering with MNC clients.,0,0
SureShot100% Agency,Get selected instantly for high-paying job. Just pay registration fee. Asks candidates to pay processing fee in cash before employer details.,1,1
OfferPay Jobs,NO INTERVIEW required. Send joining fee on Google Pay. Part-time copy paste work. First transfer processing fee.,1,1
SilverHR Solutions,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
SureShotSureShot Services,Simple work from mobile. Join now by paying account creation fee. We guarantee job in MNC without exams. Pay security deposit.,0,1
PayQuick Services,Simple work from mobile. Join now by paying account creation fee. Simple work from mobile. Join now by paying account creation fee.,1,1
StaffingNextGen HR,"We are paid by employers, not by job seekers. We are paid by employers, not by job seekers.",0,0
CoreTech Partners,Consulting and training firm in data science. Recruitment for clients is free for job seekers.,0,0
TalentSummit Solutions,No fees are collected from candidates at any stage. Official recruitment partner for mid-size software companies.,0,0
UrbanNextGen Staffing,Works only on retained search basis. Consulting and training firm in data science.,0,0
TechTech Staffing,Service charges are billed only to client companies. Official recruitment partner for mid-size software companies.,0,0
JobSureShot Jobs,Activation fee must be paid immediately to unlock projects. 100% placement guarantee. Freshers must pay placement fee.,1,1
TalentTalent Staffing,Recruitment for clients is free for job seekers. Provides project-based hiring for Java and .NET engineers.,0,0
GuaranteedPay Consultancy,Earn daily 3000 INR. First pay processing fee for ID card. 100% placement guarantee. Freshers must pay placement fee.,1,1
CoreCity Partners,Consulting and training firm in data science. No fees are collected from candidates at any stage.,0,0
PrimeTech Partners,Provides project-based hiring for Java and .NET engineers. Candidates are hired as full time employees with standard background checks.,0,0
Pay First Job Offer Center,Company charges 3500 rs for profile activation. After payment we schedule interview and refund if not selected (conditions apply).,1,1
UrbanHR Staffing,No fees are collected from candidates at any stage. No fees are collected from candidates at any stage.,0,0
HRCore Staffing,All openings are listed on our official website. All openings are listed on our official website.,0,0
BrightAdvisory Solutions,Provides project-based hiring for Java and .NET engineers. No fees are collected from candidates at any stage.,0,0
SilverTech HR,"Works only on retained search basis. We are paid by employers, not by job seekers.",0,0
DreamFirst Jobs,Asks candidates to pay processing fee in cash before employer details. One-time registration fee required before sharing interview location.,1,1
JobPlacement Agency,We offer premium job placement services for freshers and experienced candidates.,1,1
Sunrise Global Placements,Abroad job facilitator advertising quick visas and high salaries. Candidates must pay consultancy fee and visa processing amount in advance before interview.,1,1
NextGenGlobal HR,Provides project-based hiring for Java and .NET engineers. Official recruitment partner for mid-size software companies.,0,0
SureShotPay Jobs,Simple work from mobile. Join now by paying account creation fee. 100% placement guarantee. Freshers must pay placement fee.,1,1
ConsultingTalent Solutions,All communication happens from verified company email domains. Recruitment for clients is free for job seekers.,0,0
CityTalent Staffing,"We are an IT staffing firm partnering with MNC clients. We are paid by employers, not by job seekers.",0,0
StaffingBright Solutions,We are an IT staffing firm partnering with MNC clients. Provides project-based hiring for Java and .NET engineers.,0,0
SureShot100% Jobs,100% placement guarantee. Freshers must pay placement fee. Asks candidates to pay processing fee in cash before employer details.,1,1
NextGenTech Staffing,We are an IT staffing firm partnering with MNC clients. Service charges are billed only to client companies.,0,0
ConsultingStaffing Staffing,No fees are collected from candidates at any stage. Provides project-based hiring for Java and .NET engineers.,0,0
BluePrime Partners,Consulting and training firm in data science. Official recruitment partner for mid-size software companies.,0,0
